date,order_date,sales,revenue,price,quantity,category,email
2024-01-01,2024-01-01,269.0,3358.5946608628346,445.9422829848698,6.0,Electronics,user0@test.com
2024-01-02,2024-01-02,1570.0,2381.926220408506,447.2560866504423,8.0,Home,user1@test.com
2024-01-03,2024-01-03,1343.0,2847.9187270818848,261.8348883912923,7.0,Home,user2@test.com
2024-01-04,2024-01-04,933.0,3836.7443442093268,161.38488065624253,2.0,Electronics,user3@test.com
2024-01-05,2024-01-05,922.0,3191.8556840029246,,8.0,Home,user4@test.com
2024-01-06,2024-01-06,1731.0,2790.2180332570792,332.52232526804175,5.0,Electronics,user5@test.com
2024-01-07,2024-01-07,263.0,2818.075445689797,189.96057579248648,3.0,Home,user6@test.com
2024-01-08,2024-01-08,1424.0,1554.5529854099304,51.76100069045006,5.0,Electronics,user7@test.com
2024-01-09,2024-01-09,482.0,202.54828111130007,374.6608576177679,,Books,user8@test.com
2024-01-10,2024-01-10,278.0,2211.7510767001936,134.91795538181802,8.0,Books,user9@test.com
2024-01-11,2024-01-11,1100.0,1112.1941304566694,468.7225095142207,8.0,Home,user10@test.com
2024-01-12,2024-01-12,1953.0,2072.216786436949,124.28043462781395,5.0,Books,user11@test.com
2024-01-13,2024-01-13,1497.0,4274.345212677422,65.76517654368558,8.0,Home,
2024-01-14,2024-01-14,1546.0,1208.0004550334368,416.40077270182854,4.0,Home,user13@test.com
2024-01-15,2024-01-15,1463.0,338.5985713608768,80.87573672912455,7.0,Electronics,user14@test.com
2024-01-16,2024-01-16,1593.0,1442.8502655088828,93.73781253808085,6.0,Home,user15@test.com
2024-01-17,2024-01-17,1075.0,1503.2891009450839,301.69448180281756,3.0,Home,user16@test.com
2024-01-18,2024-01-18,343.0,3326.4867478981305,437.9082102145449,3.0,Books,user17@test.com
2024-01-19,2024-01-19,1695.0,2807.309154089328,102.23515952871375,1.0,Home,user18@test.com
2024-01-20,2024-01-20,955.0,3930.296135076747,158.6102180855469,2.0,Home,user19@test.com
2024-01-21,2024-01-21,1050.0,3338.3520246205685,389.8153949293829,4.0,Home,user20@test.com
2024-01-22,2024-01-22,804.0,2061.614964128349,486.05408090017886,5.0,Home,user21@test.com
2024-01-23,2024-01-23,446.0,4079.4009040968717,252.86688717015946,2.0,Books,user22@test.com
2024-01-24,2024-01-24,1860.0,876.5159535431344,76.22926376286914,4.0,Electronics,user23@test.com
2024-01-25,2024-01-25,1584.0,162.42476201260936,11.898462415559765,6.0,Home,user24@test.com
2024-01-26,2024-01-26,1323.0,495.7369108394267,118.67973484943336,3.0,Books,user25@test.com
2024-01-27,2024-01-27,864.0,3625.678785452429,70.25199780432791,4.0,Books,user26@test.com
2024-01-28,2024-01-28,1663.0,2336.2922897443677,340.44104343836443,4.0,Electronics,user27@test.com
2024-01-29,2024-01-29,1136.0,848.2953062163289,65.3070897911229,5.0,Electronics,user28@test.com
2024-01-30,2024-01-30,942.0,2530.1716367616496,255.63331615221333,4.0,Electronics,user29@test.com
2024-01-31,2024-01-31,955.0,803.9449084301837,348.6599056432288,7.0,Home,user30@test.com
2024-02-01,2024-02-01,531.0,3496.785856634793,292.6527215643467,3.0,Electronics,user31@test.com
2024-02-02,2024-02-02,275.0,2258.473564091452,103.88894757172852,4.0,Electronics,user32@test.com
2024-02-03,2024-02-03,1153.0,1936.0550691775882,403.04164046022004,4.0,Home,user33@test.com
